"cycle_or_year","file_label","module","variable_name","available"
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMOPCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXNEPCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXEOPCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXBAPCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBDLYMNO",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBDMONO",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBDNENO",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBDEONO",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBDBANO",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXRBCSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXHGB",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXHCT",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMCVSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMCHSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMC",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXRDW",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXPLTSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","LBXMPSI",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","CBC_F.XPT","complete_blood_count","NHANES_CYCLE",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","LBXCOT",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","LBDCOTLC",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","URXNAL",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","URDNALLC",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","URXUCR",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","COTNAL_F.XPT","serum_cotinine","NHANES_CYCLE",TRUE
"2009-2010","DEMO_F.XPT","demographics","SDDSRVYR",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDSTATR",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDEXMON",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIAGENDR",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDAGEYR",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDAGEMN",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDAGEEX",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDRETH1",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMQMILIT",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDBORN2",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDCITZN",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDYRSUS",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDEDUC3",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDEDUC2",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDSCHOL",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDMARTL",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHHSIZ",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDFMSIZ",TRUE
"2009-2010","DEMO_F.XPT","demographics","INDHHIN2",TRUE
"2009-2010","DEMO_F.XPT","demographics","INDFMIN2",TRUE
"2009-2010","DEMO_F.XPT","demographics","INDFMPIR",TRUE
"2009-2010","DEMO_F.XPT","demographics","RIDEXPRG",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHRGND",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHRAGE",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHRBR2",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHREDU",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHRMAR",TRUE
"2009-2010","DEMO_F.XPT","demographics","DMDHSEDU",TRUE
"2009-2010","DEMO_F.XPT","demographics","SIALANG",TRUE
"2009-2010","DEMO_F.XPT","demographics","SIAPROXY",TRUE
"2009-2010","DEMO_F.XPT","demographics","SIAINTRP",TRUE
"2009-2010","DEMO_F.XPT","demographics","FIALANG",TRUE
"2009-2010","DEMO_F.XPT","demographics","FIAPROXY",TRUE
"2009-2010","DEMO_F.XPT","demographics","FIAINTRP",TRUE
"2009-2010","DEMO_F.XPT","demographics","MIALANG",TRUE
"2009-2010","DEMO_F.XPT","demographics","MIAPROXY",TRUE
"2009-2010","DEMO_F.XPT","demographics","MIAINTRP",TRUE
"2009-2010","DEMO_F.XPT","demographics","AIALANG",TRUE
"2009-2010","DEMO_F.XPT","demographics","WTINT2YR",TRUE
"2009-2010","DEMO_F.XPT","demographics","WTMEC2YR",TRUE
"2009-2010","DEMO_F.XPT","demographics","SDMVPSU",TRUE
"2009-2010","DEMO_F.XPT","demographics","SDMVSTRA",TRUE
"2009-2010","DEMO_F.XPT","demographics","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","DEMO_F.XPT","demographics","NHANES_CYCLE",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ010",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID040",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ160",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ170",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ180",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ050",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID060",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ060U",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ070",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ230",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ240",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID250",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID260",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ260U",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID341",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DID350",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ350U",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ360",TRUE
"2009-2010","DIQ_F.XPT","diabetes","DIQ080",TRUE
"2009-2010","DIQ_F.XPT","diabetes","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","DIQ_F.XPT","diabetes","NHANES_CYCLE",TRUE
"2009-2010","GHB_F.XPT","glycohemoglobin","LBXGH",TRUE
"2009-2010","GHB_F.XPT","glycohemoglobin","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","GHB_F.XPT","glycohemoglobin","NHANES_CYCLE",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ010",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ025",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ035",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ040",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ050",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ051",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ053",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ070",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ080",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ082",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ086",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ092",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCD093",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ140",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ149",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160A",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180A",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ191",TRUE
