"file_label","data_domain","cycle_or_year","cycle_suffix","module","file_type","source_url","local_path","download_status","size_bytes","sha256","error_message","copied_from_readonly","required_for"
"DIQ_G.XPT","NHANES public-use data","2011-2012","G","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DIQ_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/DIQ_G.XPT","AVAILABLE",3978560,"a9d5475e0cd66d6a7bc30230345ed0172a9abcbc0a7a4145a35025c827a52a87",,,"diabetes"
"GHB_G.XPT","NHANES public-use data","2011-2012","G","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/GHB_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/GHB_G.XPT","AVAILABLE",105840,"8ff7cc95461fdfd47d2c9640b944a2bcd45926a3c0e64c98a09a4cef6c0f88d7",,,"glycohemoglobin"
"MCQ_G.XPT","NHANES public-use data","2011-2012","G","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/MCQ_G.XPT","AVAILABLE",6905520,"7538eb86c72b81fd5e76b56120fcb068ed38149d44650e9e750670ad58658d52",,,"medical_conditions"
"OHXDEN_G.XPT","NHANES public-use data","2011-2012","G","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/OHXDEN_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/OHXDEN_G.XPT","AVAILABLE",6966080,"6ac1182f7ed897b84300a6bf83c5f3108a63a2f7fe25827ee669f38a384d54bd",,,"dentition"
"OHXPER_G.XPT","NHANES public-use data","2011-2012","G","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/OHXPER_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/OHXPER_G.XPT","AVAILABLE",17811200,"128c369eb836d8b651ea1422566890b410d9dc56019f7b49668755bdb0338310",,,"periodontal_full_mouth"
"RXQ_RX_G.XPT","NHANES public-use data","2011-2012","G","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/RXQ_RX_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/RXQ_RX_G.XPT","AVAILABLE",2994400,"4dd72348270f4f818ffcf6a0b0d49e5c471e2a9673a03562bb06c0e4dad93bc6",,,"medications"
"SMQ_G.XPT","NHANES public-use data","2011-2012","G","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/SMQ_G.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2011-2012/SMQ_G.XPT","AVAILABLE",1946960,"69f2375f036a815082b1e97110e79c505b91e0985c61696f8eaacf94828115dc",,,"smoking"
"ALB_CR_H.XPT","NHANES public-use data","2013-2014","H","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/ALB_CR_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/ALB_CR_H.XPT","AVAILABLE",399600,"65adbd6c87541464e69fa2da54fb2c5e9e0c198fa322943a21ccbcacd8c40670",,,"urine_albumin_creatinine"
"BIOPRO_H.XPT","NHANES public-use data","2013-2014","H","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BIOPRO_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/BIOPRO_H.XPT","AVAILABLE",2127760,"b114fde7fc46933e6b4e3f620b8e7b61ea5b46f82121c0dc05a7b8c1fbdd0548",,,"biochemistry_serum_uric_acid"
"BMX_H.XPT","NHANES public-use data","2013-2014","H","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/BMX_H.XPT","AVAILABLE",2045520,"fd5e9fc6e6aab0a4aee6e699f51497bbc9b62101f7f43aee924c473e38fd9442",,,"body_measures"
